method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
quant_16bit,17,6,0.7566705131903291,1.0185095742845867,1.6468031737022102,2.2818577317566238,13.971931639687652,20.403347394609106,13.689893278047359,19.75005376569666,19106.0283203125,0.0,9890.6708984375,0.0,-0.28203836164029283,0.8901326605118811,0.4594784156805111,1.9317221770396602
quant_16bit,18,65,0.7667899034845714,0.7642512591447853,1.3313071964881742,0.9429035912163566,53.60667664291986,53.30301325540442,53.88288459723687,53.930376310725016,19106.0283203125,0.0,9890.6708984375,0.0,0.27620795431700884,0.5645172930036028,0.5759676696011781,1.9317221770396602
quant_16bit,20,54,0.7446404409819041,0.7275840112979722,1.2903999760919422,0.9030108500478036,61.01150589773096,69.21362922267724,61.24873953828627,69.65936648795935,19106.0283203125,0.0,9890.6708984375,0.0,0.23723364055530993,0.5457595351100382,0.5770617287494801,1.9317221770396602
quant_16bit,22,41,0.7946471213817414,1.0179917391812405,1.2805989821350612,1.1652121968459332,64.78035504908065,76.6497511550132,66.8292429234871,79.05724705805423,19106.0283203125,0.0,9890.6708984375,0.0,2.0488878744064465,0.48595186075331975,0.6205276846752422,1.9317221770396602
quant_16bit,24,30,0.7993141617160291,0.7933585357946763,1.3232314743567257,0.9119981409644045,79.07644581900901,111.05309329489512,81.45458170049201,118.65710979753236,19106.0283203125,0.0,9890.6708984375,0.0,2.3781358814830043,0.5239173126406966,0.6040622349197118,1.9317221770396602
quant_16bit,26,22,0.6983018412508748,0.5476842093959492,1.214607446687296,0.7259389320305234,109.66003403105982,133.42064313558936,111.53540643652437,139.7672584580366,19106.0283203125,0.0,9890.6708984375,0.0,1.875372405464546,0.5163056054364212,0.574919776060499,1.9317221770396602
quant_16bit,28,16,0.6339190934377257,0.40878471926989174,1.1713539881748147,0.585311944339798,189.8106675068633,243.14441060740563,190.88392903876777,259.32172595230236,19106.0283203125,0.0,9890.6708984375,0.0,1.0732615319044783,0.537434894737089,0.541184902119545,1.9317221770396602
quant_16bit,30,6,0.5004858289224406,0.21514433702670926,0.9941259229866167,0.44504334040815063,417.7806081120141,546.5443417900119,424.688428265004,565.5307237625478,19106.0283203125,0.0,9890.6708984375,0.0,6.9078201529899275,0.4936400940641761,0.5034430924191666,1.9317221770396602
ae_1024_quan_8,1,161,0.5755813236186362,0.5602179060739054,1.3581446651311486,0.5484994115039946,33.80645999190167,38.32103279007297,68.21385750544918,97.30731224700735,19106.0283203125,0.0,2.0,0.0,34.407397513547515,0.7825633415125124,0.4237997161834417,9553.01416015625
ae_1024_quan_8,2,142,0.7026537387651509,0.6714050069238048,1.4489866020157933,0.5472372451905287,32.96112184894133,26.86786562608271,64.05783797611292,85.46922247080795,19106.0283203125,0.0,2.0,0.0,31.09671612717159,0.7463328632506424,0.48492769897778,9553.01416015625
